ID,name,KeyCode,TimeClick,TimeNext
13737,Kinga,32,80.0,128
13738,Kinga,85,96.0,129
13739,Kinga,80,79.0,112
13740,Kinga,76,80.0,257
13741,Kinga,87,79.0,64
13742,Kinga,89,80.0,256
13743,Kinga,73,112,1
13744,Kinga,69,95.0,192
13745,Kinga,32,80.0,192
13746,Kinga,79,96.0,80
13747,Kinga,75,80.0,240
13748,Kinga,82,112,97
13749,Kinga,69,47.0,240
13750,Kinga,83,129,18
13751,Kinga,76,77.0,112
13752,Kinga,79,48.0,96
13753,Kinga,78,96.0,1
13754,Kinga,69,79.0,112
13755,Kinga,71,96.0,0
13756,Kinga,79,96.0,64
13757,Kinga,32,79.0,33
13758,Kinga,67,112,48
13759,Kinga,90,112,192
13760,Kinga,65,96.0,112
13761,Kinga,83,32.0,32
13762,Kinga,85,112,160
13763,Kinga,190,128,19
13764,Kinga,32,221,176
13765,Kinga,16,80.0,32
13766,Kinga,78,32.0,32
13767,Kinga,65,64.0,144
13768,Kinga,84,80.0,20
13769,Kinga,79,76.0,96
13770,Kinga,77,144,1
13771,Kinga,73,111,1
13772,Kinga,65,95.0,16
13773,Kinga,83,80.0,144
13774,Kinga,84,80.0,32
13775,Kinga,32,96.0,144
13776,Kinga,84,96.0,160
13777,Kinga,65,160,20
13778,Kinga,32,75.0,97
13779,Kinga,65,96.0,288
13780,Kinga,85,112,368
13781,Kinga,84,80.0,256
13782,Kinga,79,64.0,112
13783,Kinga,82,64.0,160
13784,Kinga,75,64.0,64
13785,Kinga,83,96.0,128
13786,Kinga,73,16.0,63
13787,Kinga,69,16.0,16
13788,Kinga,32,96.0,129
13789,Kinga,82,96.0,160
13790,Kinga,65,144,23
13791,Kinga,87,105,208
13792,Kinga,79,98.0,430
13793,Kinga,32,79.0,385
13794,Kinga,79,80.0,48
13795,Kinga,83,96.0,48
13796,Kinga,79,80.0,128
13797,Kinga,66,48.0,96
13798,Kinga,73,80.0,80
13799,Kinga,83,80.0,208
13800,Kinga,84,96.0,160
13801,Kinga,69,112,63
13802,Kinga,32,81.0,48
13803,Kinga,83,95.0,113
13804,Kinga,65,112,32
13805,Kinga,32,79.0,16
13806,Kinga,83,113,112
13807,Kinga,67,128,32
13808,Kinga,73,80.0,63
